,id,X,NEST,av.food,av.trip.length,av.col.int,num.trips,SEASON,nest.seas,TYPE,CHICK,OUTCOME,hatch.seasday,cr.seasday,fail.seasday,cr.age,fail.age,last.day.2.chx,first.day.2.chx,sex,Parent_Age,Epy,Parent_Sex,weight.slope40,flipper.slope40,tibiotar.slope35,foot.slope35,bill.slopeall,CH_B,CH_S,mean.N,mean.C,cr.mass,resid.hatch,cr.flip,cr.tib,cr.foot,cr.bill,did.cr
30,1213-4-B,38,4,0.095240503,18.54368056,27.45409722,4,1213,1213-4,WB,B,C,44,68,150,24,0,150,44,M,NA,NA,NA,80.49286291,4.784810127,3.091469681,1.467005076,0.198829759,1,0,10.9,-25.18,1824.917856,-5,142.2025316,123.4378212,99.26649746,15.01972654,1
31,1213-5-A,39,5,0.138683239,38.71355556,29.64877778,5,1213,1213-5,WB,A,C,45,67,150,22,0,150,150,F,NA,NA,NA,50.97345133,3.869469027,2.764179104,0.660071942,0.190713302,0,0,10.515,-25.265,1665,-2,136.5714286,125.1164179,98.46402878,15.69527093,1
32,1213-5-B,40,5,0.07995013,30.03013889,29.77944444,4,1213,1213-5,WB,B,C,47,67,150,20,0,150,47,F,NA,NA,NA,35.44247788,3.721238938,2.245575221,0.897887324,0.207765487,1,0,10.14,-25.33,1145.714286,-2,112.1428571,110.4285714,90.20422535,14.85285714,1
33,1213-6-B,42,6,0.138898063,23.86503472,42.68631944,8,1213,1213-6,WB,B,C,49,64,150,15,0,64,49,M,NA,NA,NA,97.50324044,5.406351264,3.130265716,1.243956044,0.250477356,1,0,11.075,-25.65,1168.916073,0,105.5755023,106.926118,86.61758242,14.08411533,1
34,1213-7-A,43,7,0.30415839,36.31777778,18.76294444,15,1213,1213-7,WB,A,C,41,67,150,26,0,150,150,F,NA,NA,NA,68.31920904,3.728813559,2.162380602,0.741366642,0.177583192,0,0,10.595,-25.015,1946.638418,-6,147.8326271,132.185158,96.77296106,15.72881494,1
35,1213-7-B,44,7,0.151499728,36.12160714,18.50585317,14,1213,1213-7,WB,B,C,43,67,150,24,0,150,43,F,NA,NA,NA,89.05367232,4.276836158,2.910360029,1.427626745,0.195870824,1,0,10.58,-25.12,1783.482345,-6,131.1786723,119.4724467,88.92652461,15.12369087,1
36,1314-12-A,46,12,0.305878035,63.9470202,20.67578283,11,1314,1314-12,WB,A,C,43,64,150,21,0,62,150,M,NA,NA,NA,107.2697842,4.876258993,3.5,1.42,0.206136431,0,0,11.26,-25.44,1894.55036,-4,129.5395683,122.1,91.62,15.12724382,1
37,1314-13-A,48,13,0.205163048,69.38546296,4.815555556,3,1314,1314-13,WB,A,C,41,64,150,23,0,64,150,M,NA,NA,NA,66.37911592,3.246504285,2.041062802,0.871980676,0.176344159,0,0,10.835,-25.015,1737.562021,-6,134.8651331,126.3333333,90.5,15.16121335,1
38,1314-13-B,49,13,0.128402182,48.59597222,4.990833333,2,1314,1314-13,WB,B,D,42,64,64,22,22,64,42,F,NA,NA,NA,22.37704918,1.81147541,2.237704918,1,0.184262295,1,0,10.74,-26.04,659.0983607,-7,75.95081967,93.40983607,67,11.88459016,1
39,1314-15-A,51,15,0.585694575,36.84012821,10.88685897,13,1314,1314-15,WB,A,C,43,68,150,25,0,91,150,M,NA,NA,NA,97.46497373,5.250875657,3.782857143,2.214285714,0.211062742,0,0,11.33,-24.99,1820.901926,-4,127.1024518,125.1428571,93.71428571,16.75161514,1
40,1314-15-B,52,15,0.292847287,36.84012821,10.88685897,13,1314,1314-15,WB,B,D,44,68,91,24,47,91,44,F,NA,NA,NA,51.81042032,3.930823117,2.48380035,1.333333333,0.186388003,1,0,11.055,-25.045,1148.069177,-5,111.4063047,107.354641,84.66666667,15.39847267,1
42,1314-32026-A,54,32026,NA,NA,NA,NA,1314,1314-32026,KA,A,C,48,65,150,17,0,55,150,NA,5,0.2,m,85.43307087,4.535433071,2.559055118,1.547244094,0.11024735,0,0,NA,NA,1230.511811,-1,101.9055118,111.8425197,85.87401575,15.49027385,1
43,1314-32480-S,56,32480,NA,NA,NA,NA,1314,1314-32480,KA,S,D,57,43,75,NA,18,75,150,M,5,0.2,m,63.93442623,3.557377049,4.131147541,2,0.270901639,0,1,NA,NA,-181.9672131,8,23.72131148,27.93442623,45,8.73704918,0
41,1314-3-S,53,3,0.22136799,32.79069444,54.57,2,1314,1314-3,WB,S,C,49,72,150,23,0,150,150,M,NA,NA,NA,73.16559058,3.438663122,2.43847487,1.170710572,0.125335631,0,1,11.1,-25,1679.694265,2,131.5731105,127.0277296,92.0779896,15.87123186,1
44,1314-40225-A,57,40225,NA,NA,NA,NA,1314,1314-40225,KA,A,C,40,65,150,25,0,58,150,F,15,0.06,m,31.10726644,3.096885813,2.144690782,1.106184364,0.140847427,0,0,10.74,-25.3,1229.726067,-7,117.9031142,116.6604434,84.79113186,14.60802987,1
45,1314-40225-B,58,40225,NA,NA,NA,NA,1314,1314-40225,KA,B,D,41,49,58,NA,17,58,41,F,15,0.06,m,48.33333333,2.333333333,3.666666667,1.666666667,0.003333333,1,0,NA,NA,0,-8,43,38,48,11.07,0
46,1314-41336-A,59,41336,NA,NA,NA,NA,1314,1314-41336,KA,A,C,47,66,150,19,0,150,150,F,15,0.13,f,60.08254717,3.795400943,2.692717584,1.193605684,0.20665397,0,0,10.18,-25.3,1525.471698,0,124.509434,114.2486679,88.12078153,14.65400527,1
47,1314-41336-B,60,41336,NA,NA,NA,NA,1314,1314-41336,KA,B,C,48,66,150,18,0,150,48,M,15,0.13,f,32.59433962,3.278301887,2.184724689,1.317939609,0.076161735,1,0,10.335,-25.725,808.3962264,-1,88.01886792,98.39964476,75.21669627,13.33851743,1
48,1314-41381-A,61,41381,NA,NA,NA,NA,1314,1314-41381,KA,A,C,49,66,150,17,0,60,150,M,15,0.13,m,37.75305895,3.897664071,3.275862069,2.326771654,0.100934372,0,0,10.94,-26.08,780.5617353,2,89.02558398,99.93103448,74.46850394,12.71976641,1
